"General government gross debt (Percent of GDP)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Hungary,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",84.1,71.4,62.3,60.5,60.4,55.7,52.3,55.6,58.1,58.8,60.1,64.1,65.1,71.1,77.2,80,80.3,78.2,77.2,76.5,75.8,74.9,72.1,69.1,65.3,79.3,76.8,76.4,73.2,70,68.2,66.1,64.1,61.3
Iceland,"no data","no data",28.9,30.8,32.4,32,29.9,27.3,30.6,35.3,35.5,37.6,45.4,52.3,54.8,58.1,55.6,52,50.3,76.6,75.8,83.4,82.2,85.1,80.9,68.9,70.7,68.4,110.4,128.8,133.1,138.2,133.9,122,115.3,97.3,82.5,71.7,63.2,66.6,77.8,75.6,68.7,64.7,61.5,57.4,52.9,48.9,44.2
India,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",75.3,77.4,77,73.5,69.7,66,67.8,68.1,70,73.6,78.7,82.9,84.4,83.4,81,77.2,74.1,72.8,71.5,66.4,68.6,68,67.7,67.1,69,68.9,69.7,70.4,75,88.5,84.7,83.1,83.2,83.7,83.8,83.8,83.7,83.6
Indonesia,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",87.4,73.7,62.3,55.6,51.3,42.6,35.8,38.1,30.3,26.5,26.4,23.1,23,24.9,24.7,27,28,29.4,30.4,30.6,39.7,41.1,39.9,39.1,38.8,38.5,38.1,37.8,37.3
Iran,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",35.8,37.7,36.2,27.1,22.2,25.6,28.5,26.8,25.7,22.2,18.2,16.1,12.4,13.3,14.8,12.3,13.6,11.8,12.6,37,47.9,45,42.9,46.7,48.3,42.4,34,32,32.7,34.3,35.8,37.2,38.1
Iraq,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",344.3,227.3,143.2,117.1,74.2,87.4,53.5,40.7,34.8,32,32.9,56.9,67,59.1,47.8,45.1,84.3,59.2,43.3,47.9,46.8,50.7,57.5,64.7,71.7
Ireland,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",78.5,69.8,61.6,51.4,46.6,36.4,33.6,30.9,29.8,28.1,26.1,23.6,23.9,42.5,61.8,86.2,110.5,119.6,119.9,104.3,76.7,74.3,67.6,63,57,58.4,55.4,45.2,39.9,36.1,33.2,30.7,27.7,25.2
Israel,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",77.4,81.3,87.3,89.7,88.3,85.4,77.7,70.9,70.4,73,69.3,67.4,67.1,66,64.9,63.1,61.4,59.7,59.9,58.8,70.7,68,60.9,57.6,55.3,54.5,54.1,53.7,53.5
Italy,"no data","no data","no data","no data","no data","no data","no data","no data",95.9,98.6,101.9,105.5,113.2,124.3,131.1,119.4,119.1,116.8,114.1,113.3,109,108.9,106.4,105.5,105.1,106.6,106.7,103.9,106.2,116.6,119.2,119.7,126.5,132.5,135.4,135.3,134.8,134.2,134.4,134.1,154.9,149.8,144.7,140.3,140,138.5,136.9,134.8,131.9
Jamaica,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",82.7,91.8,108,118.4,86.9,93.6,97.7,94.7,97.8,93.8,96.1,109.7,122.7,123.7,120.2,122.9,120.1,121,106.7,99,94.3,109.7,94.2,84.1,77.9,74,69.8,64,59.5,52.6
Japan,47.8,52.9,57.8,63.6,65.6,68.3,74,75.7,71.8,65.5,63,62.2,66.6,72.7,84.4,92.5,98.1,105,116,129.5,135.6,145.1,154.1,160,169.5,174.6,174.1,173,180.9,198.8,205.9,219.2,226.1,229.5,233.3,228.3,232.4,231.3,232.4,236.4,258.7,255.4,261.3,258.2,256.3,257.6,259.2,261.5,264
Jordan,"no data","no data","no data","no data","no data","no data","no data","no data",183.8,219.1,227.5,207.7,155.1,140.6,129,117.8,116.5,109,110.8,109,99.3,94.4,94.9,88.8,81.5,73,66.3,64.3,54.2,58,59.4,62.1,70.5,75.6,75,78.4,77.4,75.7,74.3,77.2,87,90.9,89.4,87.9,85.6,83.2,80.2,77.4,75.8
Kazakhstan,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",17.6,15,11.4,8.1,6.7,4.1,6.8,10.2,10.7,10.2,12.1,12.6,14.5,21.9,19.7,19.9,20.3,19.9,26.4,25.1,23.5,25.9,27,29,31.4,33.1,34.8
Kenya,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",38.5,38.4,43.1,41.3,42,43.8,40.8,37.4,37.1,34.2,34.3,36,36.7,35.7,37.6,39.8,41.3,45.8,50.4,53.9,56.4,59.1,67.8,67,67.9,66.6,65.4,64.1,62.7,61.1,59.5
Kiribati,"no data","no data","no data","no data","no data","no data","no data","no data",2.1,4.3,6.6,7.3,9.4,13.7,15,15,13.4,12.8,11.2,13.2,11.9,15.4,11.8,11.2,12,10.5,11.3,9.9,12.9,9.3,8.5,8.1,7.5,8.3,8.8,20,23.5,22.8,21.6,22.4,20.6,17.1,15.2,13,23.4,32.8,41,53,63.4
"Korea, Republic of","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",13.2,12.3,12,11.2,10,8.8,8.1,10,14.3,16.3,16.7,17.2,17,19.8,22.4,25.9,28.1,27.4,26.9,30,29.5,33.1,35,37.7,39.7,40.8,41.2,40.1,40,42.1,48.7,51.3,54.3,55.3,55.9,56.6,57.2,57.8,58.2
Kosovo,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",16.3,14.3,10.8,6.9,6.5,5.6,8.6,9.4,11.2,13.4,14.5,16.4,17.1,17.7,22.5,21.6,19.3,20.3,21.9,22.7,23.5,24.3,25
Kuwait,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",151.1,117.7,88.9,88.5,78,59,52.2,55.1,46.6,34.9,35.1,30,23,17.3,11.8,8.3,7,5.4,6.7,6.2,4.6,3.6,3.1,3.4,4.7,9.9,20.5,15.1,11.6,11.7,8.7,2.9,3,3,6.1,9.7,11.2,15.2
"Kyrgyz Republic","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",123.3,108.2,107.9,108.2,92.7,85.7,73.4,57.7,49,58.5,59.7,50.1,50.5,47.1,53.6,67.1,59.1,58.8,54.8,51.6,67.6,59.5,53.5,53,52.9,53.7,54.5,55.6,57.1
"Lao P.D.R.","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",94.7,95.3,90.1,80.7,73.2,60,55.9,51.7,51.8,49.3,43,46.1,49.5,53.5,53.1,54.5,57.2,60.6,69.1,76,92.4,128.5,123,119.9,115.8,112.2,108.1,104.1
Latvia,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",9.6,14.4,14.7,17.5,14.9,14.3,14.1,11.5,9.6,8.1,17.9,35.6,46.5,44.5,42.7,40.4,41.6,37.1,40.4,39,37.1,36.7,42.1,44.7,41.6,42,41,41.2,39.9,37.8,37.3
Lebanon,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",148.1,163.1,163.1,171.3,169.5,178.9,183.3,169.3,161.5,144.5,136.8,134.4,131.1,135.4,138.4,140.8,146.4,150,155.1,172.3,150.6,"no data","no data","no data","no data","no data","no data","no data","no data"
Lesotho,"no data","no data","no data","no data","no data","no data","no data","no data",23.3,25.5,18,11.9,64.4,71.2,67,62.8,71.6,65.7,79.4,83,88.5,108.7,79.6,52.6,49.4,41,43.7,44.3,44.2,38,35.5,35.3,37.3,39.6,38.1,43.2,43.6,44.1,45.9,48.9,60,56.4,57.9,58.5,57.3,55.7,55,54.5,54.4
Liberia,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",468.1,465.2,463.6,600.1,543.4,488.5,451,366.8,235.3,132.2,25.4,22.5,20.5,20.6,24.3,24.8,28.6,31.8,37.1,48.5,58.7,53.3,55.4,57.1,56.1,54.9,53.4,52.3,52.1
Lithuania,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",21.8,28.1,23.5,22.9,22.2,20.4,18.7,17.6,17.3,15.9,14.6,28,36.2,37.1,39.7,38.7,40.5,42.7,39.9,39.3,33.7,35.8,46.3,44,39.6,40.2,39.1,38,36.8,35.8,35
Luxembourg,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",10.3,10.2,10.1,9.5,8.4,7.5,7.6,7.5,7.4,7.8,8,8.2,8.1,14.6,15.3,19.1,18.5,20.9,22.4,21.9,21.1,19.6,21.8,20.9,22.4,24.5,24.5,24.3,27.4,29.2,29.7,29.7,29.5,29.3
"Macao SAR","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",92.7,113.8,110.9,105.2,96,95.8,98.7,89.7,108.5,104.1,90.2,82.1,86.7,85.9,81.9,74.4,32.2,28.2,31,34.9,32.3,29.9,30.4,36.2,37.8,44.1,40.3,40.1,42.9,41,51.2,52.3,57,53.1,52,52.2,53.1,54.6,56
Malawi,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",101.5,84.7,74.7,70.9,17.9,18.9,23.5,23.5,19.3,20,28.6,35.3,33.5,35.5,37.1,40.3,43.9,45.3,54.8,61.6,70.1,72.2,69.4,66.6,63.5,60.4,56.6
Malaysia,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",74.1,67.3,59.1,51.1,43.7,38.2,32.8,29.6,33.6,34.4,32.5,38.1,39.5,41.4,42,40.8,39.7,39.3,39.4,50.4,51.2,51.9,53.8,55.7,55.4,57,55.8,54.4,55.6,57.1,67.7,69.3,66.3,67,67.1,67.5,68,69,70
Maldives,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",38.1,39.3,38.9,39,41.8,44.3,37.6,34.7,43.2,36.8,35.8,39,48.4,52.7,51.9,57.1,55.9,55.1,54.9,62.3,64.6,72,78.8,154.4,120.1,114.9,108.9,108,103.5,99.1,95.4,91.6
Mali,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",90.5,77.5,42.6,44.1,42.4,46.6,18.1,18.5,20.1,21.9,25.3,24,25.4,26.4,26.9,30.7,36,36,37.5,40.7,46.9,50.7,53.2,54.1,54.9,55.4,55.5,56,56.7
Malta,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",44.9,51,60.3,65.8,69.2,63.9,69.7,64.8,68.2,70.5,69.9,64.3,61.9,61.8,66.3,65.5,70,66.6,66.4,62.1,56.2,54.7,47.8,43.7,40.3,52.9,55.1,55.8,56.9,57.1,56.6,56.1,55.9,55.5
"Marshall Islands","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",8.6,17.9,25.6,27.4,32.9,37.2,43.8,46.9,46.2,44.9,42.8,42.5,41.6,39,35.9,37.6,33.6,35.7,33.9,29.3,25.6,24.5,24.8,21.6,19.8,21.2,22.1,24.3,26.9,29.2,31.3,34.2
Mauritania,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",55.5,63.5,59.5,22.9,22,71.1,38,61.5,57.2,48.5,43.9,38.8,39.3,40,48.5,58.7,56.6,54.8,57.9,55.7,55.8,50.9,47.7,47.9,48.2,49.1,49.8,49.7,49.7
Mauritius,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",56.9,58.2,63,66.9,59.4,58.3,55.3,48.8,48.8,56.8,54.4,54.9,54.3,56.6,59.2,63.2,63,62.2,64,82.2,94.6,88.4,80.9,78.1,77.1,76.2,75.7,75.5,67.7
Mexico,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",44.7,40.9,42,43.8,40.3,39.3,41.9,44.2,40.8,38.5,37.4,37.2,42.5,43.7,42,42.9,42.7,45.9,48.9,52.8,56.7,54,53.6,53.3,60.1,58.7,56,55.6,55.8,56.3,56.9,57.5,57.9
"Micronesia, Fed. States of","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",54,43.9,47.2,42.1,35.8,27,23.6,24,24.6,25.3,24.7,25,25.7,28.9,30.7,28.8,28.3,27,27.6,28.1,25.6,24.2,21.9,19.6,17.8,18.3,15.5,14,11.9,16.5,22.5,28.7,35,41
Moldova,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",79.5,87.5,89,159.4,150.7,89.1,85.4,80.3,68.1,49.3,40.4,35,28.3,22.2,32.6,25.5,24.2,31.3,30,35,42.4,39.2,34.9,31.8,28.8,36.6,33.1,33.5,34.5,36.7,36.9,36.9,36.9,34.9
Mongolia,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",40.9,36.1,31,48.5,31,32.7,43.7,49.4,56.3,65.1,95.3,102.8,90.7,79.2,97.4,79.7,82.4,76.2,73,70.2,68.7,67.5,65.7
Montenegro,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",76.7,40.9,45.4,38.6,36.7,31.8,34.2,43.7,45,48.6,56.9,58.7,63.4,68.8,66.4,66.2,71.9,78.8,107.3,86.6,71.2,67.8,67.6,69,70.9,73.1,73
Morocco,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",70.5,59.1,67,74.7,69.3,72.2,65.3,68,64.5,63.4,64.9,60.4,59.4,56.9,54.4,54.8,50.6,47.1,42,42.6,45.3,48.6,52.3,57.1,58.6,58.4,60.1,60.3,60.5,60.3,72.2,68.9,68.8,68.3,68.4,68.2,67.7,66.9,66.2
Mozambique,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",99.6,100.5,104.4,66.4,66,52.8,62.4,41.5,32.3,33.7,40.5,39.6,34.7,37.4,50.1,64.3,87.4,126.2,104.1,106.7,99,120,107.2,104.5,102.8,103.1,101.4,97.8,82.9,67.6
Myanmar,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",201.3,145.4,158.7,252.8,183.9,140.9,122.1,114.8,99.5,74.6,57.7,54.4,52.5,47.9,36.5,36.1,35.2,36.4,38.3,38.5,40.4,38.8,39.3,65.5,63.9,61.3,63.3,65.4,67.3,66.5,65.2
Namibia,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",17.2,16.4,18,18.7,17.7,19.6,21.8,20.9,24.4,22.2,27.1,29.2,26.9,26.1,19.4,19.1,15.9,16.3,27.4,24.6,26.1,27.6,42.1,45.8,43.8,50.4,59.4,66.6,72,71.3,68.5,66.8,65.5,64.2,62.7,61
Nauru,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",246.7,242.5,188.9,123.1,126.9,112.5,82.2,81.8,78,71.1,59.6,56.3,24.8,24.3,29.2,26.1,23.2,20.2,17.1,14.7
Nepal,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",50.8,50.8,51.8,53,51.3,45.1,42.9,37.9,36.8,39.5,35.4,32.4,34.5,31.9,27.6,25.7,25,25,31.1,34,43.3,44,43.8,47.8,48.8,49.8,50.2,50,49.9
Netherlands,43.6,46.9,52.5,58.5,62,67.2,69,71.4,73.8,73.8,75.1,74.9,75.7,76.8,73.6,73.1,71.4,65.8,62.8,58.7,52.2,49.5,48.9,50,50.3,49.8,45.2,43,54.7,56.8,59.3,61.7,66.2,67.7,67.9,64.6,61.9,57,52.4,48.5,54.7,52.4,48.5,48.2,47.3,47,46.5,46.2,46.3
"New Zealand","no data","no data","no data","no data","no data",64.2,68.6,63,54.8,54.9,55.4,58,58.7,54.6,48.9,43.5,37.3,34.6,34.5,32,30,28.2,26.4,24.7,22.5,20.8,18.4,16.3,19,24.3,29.7,34.7,35.7,34.6,34.2,34.2,33.4,31.1,28.1,31.8,43.3,50.1,52.8,49.9,45.5,41.1,38.8,36.5,34.9
Nicaragua,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",86.4,86.5,99.8,95.2,87.5,110.4,109.5,84,66.6,51.2,30.9,26,29.3,30.3,28.8,27.9,28.8,28.7,28.9,30.9,33.8,37.4,41.4,47.7,47.6,46,44.5,45,45.4,46.5,46.8,46.1
Niger,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",69.4,63.5,69.1,61.3,63.3,82.1,74,69,60.6,55,49.5,18.3,17.8,14.2,15.9,15.1,14.7,18.1,19.6,22.1,29.9,32.8,36.5,39.5,40.5,45,51.3,51.1,52.5,49.4,48.1,47.2,46.7,46.3
Nigeria,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",71.7,75,70.2,71,55.9,34,25.2,24.1,22.3,64.9,57.6,53.1,43.3,42.1,35.5,18.9,9.4,8.1,7.3,8.6,9.4,17.4,17.6,18.3,17.5,20.3,23.4,25.3,27.7,29.2,34.5,36.5,38,38.8,39,40.3,41.5,42.3,43.1
"North Macedonia ","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",29.8,45.6,45.2,40.5,36.5,34.6,36.7,30.6,23.5,20.6,23.7,24.3,27.7,33.7,34,38,38.1,39.8,39.4,40.4,40.4,50.8,53.4,51.8,51.9,50.8,51.1,50.5,49.9,49.6
Norway,47.7,43.4,38.5,35.4,35.2,36.9,46,38.5,32.4,32.3,28.9,39.2,45,53.7,50.6,32.7,28.4,25.8,23.6,25,28.7,27.2,33.9,43.1,43.8,42.3,52.6,49.5,47.5,42.5,43,29.6,30.9,31.4,29.7,34.3,37.9,38.3,39.4,40.6,46.1,42.7,39.6,38.8,38.5,38,37.5,37,37
Oman,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",17.8,22.6,23.1,22.2,23.6,21.9,21.2,20.8,30.9,28.9,21.7,22.5,15.9,13,14.5,8.4,7.6,4.4,3.2,5.8,5.5,4.4,4.6,4.7,4,13.9,29.3,40.1,44.7,52.5,69.7,61.3,40.1,42.8,40.6,39.8,38.9,38.4,36.8
Pakistan,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",64.8,58,58.2,58.5,59.5,67.2,68.4,72.2,67.6,62.7,56.3,52.3,48.4,47.1,51.9,52.8,54.5,52.8,56.7,57.9,57.1,57,60.8,60.9,64.8,77.5,79.6,73.6,75.8,73.6,68.9,67.8,67.6,67.1,66.1
Panama,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",81.2,79.5,67.4,62.4,60.3,57.4,55.8,60.2,59.3,58.8,61.2,61.7,56.9,49.4,41.6,41.6,40.5,37.8,36,35.6,36.6,36,35.3,35.3,37.3,41.9,65.6,58.4,54.9,54.3,53.6,52.7,51.9,51,50.3
"Papua New Guinea","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",40.1,36.6,37.8,43.9,45.7,41.8,42.3,47.7,48.4,40.4,37.2,31.6,26,22.2,21.6,21.7,17.3,16.3,19.1,24.9,26.9,29.9,33.7,32.5,36.7,40.2,48.7,52.1,49.2,48,47.6,46.7,43.5,40.5,39.3
Paraguay,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",67,49.4,34.4,26.6,18.7,17.6,16.8,18,22.1,32,33.6,37.1,50.5,37.5,36,28.3,21,16.8,16,14.9,13,11.1,12.3,13.5,15.6,18.6,19.4,19.8,22.3,25.8,36.9,37.5,40.9,40.4,40.3,39.2,38.5,37.7,36.7
Peru,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",44.9,43.8,45.5,49.4,46.7,40.4,34.9,31.9,28,28.3,25.3,23,21.1,19.9,20.6,24,24.3,25.2,26,26.9,35,36.4,33.4,33,33.3,33.2,32.8,32.3,31.9
Philippines,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",73.9,63.6,60.8,53.1,56.9,50.8,54.2,59.2,59.5,65.2,71.4,71.1,64.7,57.2,50.2,50,49.8,47.6,45.4,45.7,43.8,40.2,39.6,37.3,38.1,37.1,37,51.6,57,57.5,56.7,56.8,56.3,55.4,54.1,52.6
Poland,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",48.7,43.1,42.7,38.7,39.3,36.4,37.1,41.5,46.4,45.1,46.6,47.3,44.5,46.7,49.8,54,55.1,54.8,57.1,51.4,51.3,54.5,50.8,48.7,45.7,57.2,53.8,49.6,50.7,51.7,52.4,53.6,54.1,54.5
Portugal,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",60.2,63.9,58.1,57.2,60.4,62.2,63.3,58.7,55.6,55.4,54.2,57.4,60,63.9,67.1,72.2,73.7,72.7,75.6,87.8,100.2,114.4,129,131.4,132.9,131.2,131.5,126.1,121.5,116.6,134.9,125.4,116,112.4,108.6,105.2,102.2,99.3,96.5
"Puerto Rico","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",33.4,36.9,40.8,46.5,48.3,50,53.7,52.3,54.5,52.7,49.9,51.2,52.4,48.8,50.2,48.8,16.3,15.2,14.6,13.9,13.1,12.4,11.6
Qatar,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",12.6,21.8,19.9,46.3,54.8,50.2,57.8,54.4,76.6,81.8,51.6,59.2,47.7,38.8,30.1,19.1,13.9,9.4,11.4,36,30.4,33.5,32.1,30.9,24.9,35.5,46.7,51.6,52.2,62.1,72.6,58.4,45.3,45.5,42.9,40.4,37.9,35.9,33.9
Romania,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",29.6,27.4,27.4,24.9,21.3,17.8,12.7,12.4,13,22.5,30.2,32.6,36.2,39.3,40.5,39.4,39.5,37.1,36.2,36.6,49.4,51.1,48.7,48.3,49.3,50.3,51.4,52.8,54.3
"Russian Federation","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",51.5,135.2,92.4,55.9,44.4,37.6,28.3,20.8,14.9,9.8,8,7.4,9.9,10.1,10.3,11.2,12.3,15.1,15.3,14.8,14.3,13.6,13.7,19.2,16.5,19.6,24.9,25.3,25.3,24.3,23.2,21.5
Rwanda,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",100.8,83.4,72.2,70.1,78.4,86,84,92.1,79.6,80.9,59,22.5,22.1,18.3,18.5,18.8,18.7,19.1,26.1,28.3,32.4,36.6,41.3,44.9,49.8,65.6,66.6,64.4,67.1,71.1,70.7,68.9,67,62.9
"Saint Kitts and Nevis","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",48.9,66.5,77.4,89.2,96.5,105.2,119.7,140.7,153.1,156.8,141.9,134,124.6,131.9,141.7,132.1,122.6,91,72.3,64.5,57.4,55.8,53.7,54.1,63.1,70,64.8,63,62.5,61.8,61.2,60.4,59.7
"Saint Lucia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",17.1,19.7,22.6,23.1,23.8,23.1,24.4,27.1,29.6,29.4,33.4,38.8,48.6,45.6,49.7,51.4,48,48.2,46.9,50.2,52.2,54.9,60.2,61.2,61.9,60.6,60.3,60,60.4,62.1,96.9,90.8,83.5,82.7,83.4,83.3,82.8,82.4,81.9
"Saint Vincent and the Grenadines","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",55.3,53.5,50.7,49.3,54.2,47.6,41.2,39.3,39.9,53.4,54.2,51.9,53.2,55.3,58.5,50.5,44.7,48.4,50.2,57.2,61.1,64,67.8,70,75.1,75.1,79.4,69,69.4,68.1,79.5,89.3,86.8,86.3,90.1,89.7,85.7,81.9,77.9
Samoa,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",58.9,59.4,55.8,53.8,50.3,42.8,39.8,34.2,33.5,31.5,28.2,33.3,40.3,41.5,50.9,54.1,54.9,56.4,49,46.7,49.4,44.3,43.3,46.3,43.7,38.5,39.3,39.7,40.2,40.8,41.2
"San Marino","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",16.9,14.5,14.2,12.6,15.5,20.1,20,16.6,17.2,23.2,21,19.3,21.5,56.7,57.2,57.4,71.6,86.3,81.2,90.6,80.4,79.9,79.3,78.6,77
"Saudi Arabia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",39.4,47.8,58.6,67.9,74.2,75.2,76.7,101.5,103,86.7,93.1,96.4,81.6,62.9,37.3,25.8,17.1,12.1,14,8.4,5.3,3,2.1,1.5,5.7,12.7,16.5,17.6,21.6,31,28.8,22.6,23.6,23.1,22.3,21.5,20.7,19.9
Senegal,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0.1,67.8,18.8,15,57.5,53.2,52,42.9,38,36.1,17.5,19,19.1,29.9,34.6,32.9,34.5,36.9,42.4,44.5,47.5,61.1,61.5,63.6,69.2,73.2,75,73.1,69.9,69.3,69,69,65
Serbia,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",213.8,100.6,71.7,67.6,59.1,51.3,38,31.2,30.6,33.9,39.8,43.7,53.9,56.4,66.2,69.9,67.4,57.5,53.3,51.7,56.9,56.3,53.5,50.2,46.1,44.1,42,39.7,38.9
